v1,speaker,domint,topic1,topic2,frame,gainloss,debate,hc_segtype,hc_funct,hc_meme,hc_memtyp,hc_memint,hc_interpt,hc_success,hc_intype,hc_visinter,hc_visuccess,hc_intmod,hc_modtype,hc_nonflu,hc_putdown,hc_attone,hc_fetone,hc_hrtone,hc_lookat2,hc_brush1,hc_nvdis1,hc_look,hc_eyebrow,hc_atface,hc_feface,hc_hrface,hc_saface,hc_neuface,hc_inapprop,hc_affgest,hc_defgest,hc_nvsub,hc_agentic,hc_commun,hc_waveoff,hc_nvtic1,hc_nvtic2,hc_nvtic3,hc_nvtic4,hc_nvtic5,hc_nvtic6,dt_segtype,dt_funct,dt_meme,dt_memtyp,dt_memint,dt_interpt,dt_success,dt_intype,dt_visinter,dt_visuccess,dt_intmod,dt_modtype,dt_nonflu,dt_putdown,dt_attone,dt_fetone,dt_hrtone,dt_lookat2,dt_brush1,dt_nvdis1,dt_lookat3,dt_eyebrow,dt_atface,dt_feface,dt_hrface,dt_saface,dt_neuface,dt_inapprop,dt_affgest,dt_defgest,dt_nvsub,dt_agentic,dt_commun,dt_waveoff,dt_nvtic1,dt_nvtic2,dt_nvtic3,dt_nvtic4,dt_nvtic5,dt_nvtic6,hc_blame,dt_blame,i,they,sixltr,hc_6ltr,hc_i,hc_they,hc_ithey_mean,hc_ithey,dt_6ltr,dt_i,dt_they,dt_ithey_mean,dt_ithey,tweet_vol,trump_vol,clinton_vol,mention_diff_vol,dt_interruptions,hc_interruptions,hc_angry,dt_angry,trump_vol_arf1,clinton_vol_arf1,DT_POPTOT,HC_POPTOT,hc_blame2,dt_blame2,hc_anger,dt_anger,DT_POPTOT10,HC_POPTOT10,HC_ATONE2,HC_AFACE2,HC_DGEST2,HC_NVDIS2,HC_INAPPRO2,HC_INTYPE2,HC_NONFLU2,HC_PUTD2,DT_ATONE2,DT_AFACE2,DT_DGEST2,DT_NVDIS2,DT_INAPPRO2,DT_INTYPE2,DT_NONFLU2,DT_PUTD2,HC_POP_VIS,DT_POP_VIS,HC_POP_TON,DT_POP_TON,HC_POP_VER,DT_POP_VER,HC_POP_VER2,DT_POP_VER2
1,1,1,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0299625,-0.0827715,6.25,0,15.62,15.62,6.25,0,1.320899,4.929101,0,0,0,2.101816,-2.101816,2094,1058,1113,-55,0,0,0,0,-5081.051,-1358.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,,,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0299625,-0.0827715,6.67,0,6.67,6.67,6.67,0,1.320899,5.349101,0,0,0,2.101816,-2.101816,2066,1011,1108,-97,0,0,0,0,-72.94511,-27.20658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,5,15,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0299625,-0.0827715,0,0,31.82,31.82,0,0,1.320899,-1.320899,0,0,0,2.101816,-2.101816,1918,932,1048,-116,0,0,0,0,-100.1066,-85.9121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4,1,1,5,15,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,-0.0299625,-0.0827715,0,0,20.69,20.69,0,0,1.320899,-1.320899,0,0,0,2.101816,-2.101816,1717,889,883,6,0,0,0,0,-56.81438,-180.6044,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5,1,1,5,15,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0299625,-0.0827715,4.35,0,21.74,21.74,4.35,0,1.320899,3.029101,0,0,0,2.101816,-2.101816,1809,832,1028,-196,0,0,0,0,-79.61732,149.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,15,5,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.0299625,-0.0827715,3.33,3.33,13.33,13.33,3.33,3.33,1.320899,5.339101,0,0,0,2.101816,-2.101816,1814,855,1014,-159,0,0,0,0,2.291301,-71.42238,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,1,1,15,13,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.9700375,-0.0827715,3.57,0,10.71,10.71,3.57,0,1.320899,2.249101,0,0,0,2.101816,-2.101816,2110,1058,1111,-53,0,0,0,0,162.8933,67.78939,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1,1,15,13,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0299625,-0.0827715,0,2.5,12.5,12.5,0,2.5,1.320899,1.179101,0,0,0,2.101816,-2.101816,2347,1229,1172,57,0,0,0,0,87.90761,14.51573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,15,13,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.9700375,-0.0827715,5.26,0,15.79,15.79,5.26,0,1.320899,3.939101,0,0,0,2.101816,-2.101816,2443,1285,1207,78,0,0,0,0,-18.29692,-2.025793,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,1,1,,,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-0.0299625,-0.0827715,0,0,16,16,0,0,1.320899,-1.320899,0,0,0,2.101816,-2.101816,2667,1411,1318,93,0,0,0,0,85.50193,83.30597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
